      time     memory       swap
1493876946     511912       3648
1493876947     511800       3648
1493876948     511600       3648
1493876949     511600       3648
1493876950     511764       3648
1493876951     511900       3648
1493876952     511568       3648
1493876953     511760       3648
1493876954     511604       3648
1493876955     511636       3648
1493876956     511620       3648
1493876957     511140       3648
1493876958     511524       3648
1493876959     511732       3648
1493876960     511832       3648
1493876961     511460       3648
1493876962     511916       3648
1493876963     511816       3648
1493876964     512124       3648
1493876965     512028       3648
1493876966     511660       3648
1493876967     511516       3648
1493876968     511264       3648
1493876969     512088       3648
1493876970     511960       3648
1493876971     511800       3648
1493876972     511496       3648
1493876973     511824       3648
1493876974     512276       3648
1493876975     512104       3648
1493876976     511924       3648
1493876977     512016       3648
1493876978     511468       3648
1493876979     511720       3648
1493876980     511644       3648
1493876981     511316       3648
1493876982     511748       3648
1493876983     511912       3648
1493876984     511952       3648
1493876985     512040       3648
1493876986     512104       3648
1493876987     511840       3648
1493876988     511664       3648
1493876989     512260       3648
1493876990     511460       3648
1493876991     511540       3648
1493876992     512360       3648
1493876993     511784       3648
1493876994     511784       3648
1493876995     511292       3648
1493876996     511696       3648
1493876997     511692       3648
1493876998     512016       3648
1493876999     511576       3648
1493877000     511468       3648
1493877001     511388       3648
1493877002     511776       3648
1493877003     511800       3648
1493877004     512024       3648
1493877005     511852       3648
1493877006     511608       3648
1493877007     511924       3648
1493877008     512108       3648
1493877010     512044       3648
1493877011     511776       3648
1493877012     511492       3648
1493877013     511532       3648
1493877014     511308       3648
1493877015     511652       3648
1493877016     512144       3648
1493877017     511732       3648
1493877018     511640       3648
1493877019     511484       3648
1493877020     511388       3648
1493877021     511756       3648
1493877022     511824       3648
1493877023     511680       3648
1493877024     511440       3648
1493877025     511820       3648
1493877026     512016       3648
1493877027     512032       3648
1493877028     512352       3648
1493877029     512104       3648
1493877030     511632       3648
1493877031     511772       3648
1493877032     511888       3648
1493877033     511600       3648
1493877034     512292       3648
1493877035     512016       3648
1493877036     511924       3648
1493877037     511840       3648
1493877038     511588       3648
1493877039     511196       3648
1493877040     511636       3648
1493877041     511872       3648
1493877042     511620       3648
1493877043     512176       3648
1493877044     511832       3648
1493877045     512264       3648
1493877046     512228       3648
1493877047     511920       3648
1493877048     511988       3648
1493877049     511784       3648
1493877050     512656       3648
1493877051     511704       3648
1493877052     511996       3648
1493877053     511960       3648
1493877054     511948       3648
1493877055     512148       3648
1493877056     511908       3648
1493877057     511764       3648
1493877058     512204       3648
1493877059     511800       3648
1493877060     511800       3648
1493877061     511676       3648
1493877062     512352       3648
1493877063     512084       3648
1493877064     511900       3648
1493877065     511664       3648
1493877066     511660       3648
1493877067     512060       3648
1493877068     511608       3648
1493877069     511532       3648
1493877070     511852       3648
1493877071     512164       3648
1493877072     512440       3648
1493877073     511896       3648
1493877074     511632       3648
1493877075     512300       3648
1493877076     512192       3648
1493877077     511696       3648
1493877078     511548       3648
1493877079     512040       3648
1493877080     511652       3648
1493877081     511432       3648
1493877082     511592       3648
1493877083     510840       3648
1493877084     513236       3648
1493877085     514032       3648
1493877086     513956       3648
1493877087     513908       3648
1493877088     513552       3648
1493877089     514156       3648
1493877090     513620       3648
1493877091     514044       3648
1493877092     514064       3648
1493877093     513960       3648
1493877094     513904       3648
1493877095     514100       3648
1493877096     513864       3648
1493877097     513764       3648
1493877098     513644       3648
1493877099     513856       3648
1493877100     514068       3648
1493877101     514316       3648
1493877102     514072       3648
1493877103     513784       3648
1493877104     514280       3648
1493877105     513644       3648
1493877106     513816       3648
1493877107     514356       3648
1493877108     514024       3648
1493877109     514132       3648
1493877110     514496       3648
1493877111     513888       3648
1493877112     514136       3648
1493877113     514536       3648
1493877114     514116       3648
1493877115     513760       3648
1493877116     514224       3648
1493877117     514068       3648
1493877118     514180       3648
1493877119     514264       3648
1493877120     513920       3648
1493877121     514288       3648
1493877122     514292       3648
1493877123     513864       3648
1493877124     513600       3648
1493877125     513600       3648
1493877126     513552       3648
1493877127     513708       3648
1493877128     513648       3648
1493877129     513984       3648
1493877130     513736       3648
1493877131     513808       3648
1493877132     514252       3648
1493877133     514080       3648
1493877135     514500       3648
1493877136     514236       3648
1493877137     514092       3648
1493877138     514128       3648
1493877139     513804       3648
1493877140     513944       3648
1493877141     513820       3648
1493877142     513696       3648
1493877143     514060       3648
1493877144     514184       3648
1493877145     513600       3648
1493877146     514084       3648
1493877147     513784       3648
1493877148     513824       3648
1493877149     514228       3648
1493877150     514232       3648
1493877151     513868       3648
1493877152     514328       3648
1493877153     513824       3648
1493877154     513656       3648
1493877155     513976       3648
1493877156     514028       3648
1493877157     514216       3648
1493877158     514524       3648
1493877159     514160       3648
1493877160     513928       3648
1493877161     514356       3648
1493877162     514008       3648
1493877163     514144       3648
1493877164     514528       3648
1493877165     513680       3648
1493877166     514344       3648
1493877167     514164       3648
1493877168     514472       3648
1493877169     514192       3648
1493877170     513788       3648
1493877171     513956       3648
1493877172     514332       3648
1493877173     513988       3648
1493877174     514112       3648
1493877175     514304       3648
1493877176     514716       3648
1493877177     514584       3648
1493877178     514296       3648
1493877179     514372       3648
1493877180     514156       3648
1493877181     513896       3648
1493877182     514384       3648
1493877183     514028       3648
1493877184     513944       3648
1493877185     514056       3648
1493877186     514072       3648
1493877187     514352       3648
1493877188     514048       3648
1493877189     513916       3648
1493877190     514088       3648
1493877191     513896       3648
1493877192     514040       3648
1493877193     514556       3648
1493877194     514188       3648
1493877195     514236       3648
1493877196     514196       3648
1493877197     514484       3648
1493877198     514332       3648
1493877199     514376       3648
1493877200     514232       3648
1493877201     514076       3648
1493877202     514096       3648
1493877203     513748       3648
1493877204     514360       3648
1493877205     514244       3648
1493877206     514168       3648
1493877207     514492       3648
1493877208     514368       3648
1493877209     514092       3648
1493877210     514580       3648
1493877211     514372       3648
1493877212     514076       3648
1493877213     514184       3648
1493877214     514148       3648
1493877215     513680       3648
1493877216     513964       3648
1493877217     513696       3648
1493877218     513920       3648
1493877219     513640       3648
1493877220     514008       3648
1493877221     514100       3648
1493877222     513784       3648
1493877223     514528       3648
1493877224     514372       3648
1493877225     513684       3648
1493877226     513568       3648
1493877227     514072       3648
1493877228     513448       3648
1493877229     513660       3648
1493877230     514028       3648
1493877231     514148       3648
1493877232     514180       3648
1493877233     513876       3648
1493877234     514228       3648
1493877235     514700       3648
1493877236     514184       3648
1493877237     513984       3648
1493877238     514208       3648
1493877239     513924       3648
1493877240     513900       3648
1493877241     514932       3648
1493877242     514528       3648
1493877243     514048       3648
1493877244     514076       3648
1493877245     514088       3648
1493877246     514184       3648
1493877247     514680       3648
1493877248     514184       3648
1493877249     514232       3648
1493877250     514060       3648
1493877251     513992       3648
1493877252     514408       3648
1493877253     514108       3648
1493877254     514320       3648
1493877255     514184       3648
1493877256     514072       3648
1493877257     514324       3648
1493877258     514220       3648
1493877259     514176       3648
1493877260     513840       3648
1493877262     514316       3648
1493877263     514276       3648
1493877264     514644       3648
1493877265     514472       3648
1493877266     513928       3648
1493877267     513932       3648
1493877268     514288       3648
1493877269     513700       3648
1493877270     514348       3648
1493877271     514500       3648
1493877272     514852       3648
1493877273     514400       3648
1493877274     513996       3648
1493877275     513864       3648
1493877276     514064       3648
1493877277     514508       3648
1493877278     514172       3648
1493877279     513772       3648
1493877280     513628       3648
1493877281     514132       3648
1493877282     514316       3648
1493877283     514084       3648
1493877284     514376       3648
1493877285     514376       3648
1493877286     514608       3648
1493877287     514396       3648
1493877288     514020       3648
1493877289     513924       3648
1493877290     514172       3648
1493877291     514376       3648
1493877292     514324       3648
1493877293     514592       3648
1493877294     514128       3648
1493877295     514136       3648
1493877296     514268       3648
1493877297     514312       3648
1493877298     514276       3648
1493877299     514148       3648
1493877300     514004       3648
1493877301     514328       3648
1493877302     514488       3648
1493877303     514480       3648
1493877304     514516       3648
1493877305     514288       3648
1493877306     514100       3648
1493877307     514020       3648
1493877308     513760       3648
1493877309     513644       3648
1493877310     513768       3648
1493877311     514268       3648
1493877312     514096       3648
1493877313     514580       3648
1493877314     514284       3648
1493877315     513692       3648
1493877316     513736       3648
1493877317     513928       3648
1493877318     513996       3648
1493877319     513320       3648
1493877320     513632       3648
1493877321     514004       3648
1493877322     514232       3648
1493877323     514120       3648
1493877324     514096       3648
1493877325     513808       3648
1493877326     513372       3648
1493877327     513512       3648
1493877328     513572       3648
1493877329     514208       3648
1493877330     514144       3648
1493877331     513896       3648
1493877332     514088       3648
1493877333     514052       3648
1493877334     514212       3648
1493877335     514676       3648
1493877336     514080       3648
